points/segment = 2000
x-axis,signal1,signal2
second,Volt,Volt
+15.87100E-03,+29.49800E-03,+3.30427502E+00
+15.92050E-03,+25.31390E-03,+3.30260138E+00
+15.97000E-03,+26.88294E-03,+3.30542565E+00
+16.01950E-03,+27.09215E-03,+3.30364740E+00
+16.06900E-03,+27.30135E-03,+3.30124155E+00
+16.11850E-03,+29.49800E-03,+3.30542565E+00
+16.16800E-03,+29.49800E-03,+3.30124155E+00
+16.21750E-03,+31.06704E-03,+3.30542565E+00
+16.26700E-03,+29.49800E-03,+3.30406581E+00
+16.31650E-03,+29.49800E-03,+3.30427502E+00
+16.36600E-03,+29.49800E-03,+3.30542565E+00
+16.41550E-03,+32.94989E-03,+3.30542565E+00
+16.46500E-03,+29.49800E-03,+3.30490263E+00
+16.51450E-03,+29.18420E-03,+3.30542565E+00
+16.56400E-03,+29.39340E-03,+3.30542565E+00
+16.61350E-03,+29.39340E-03,+3.30134615E+00
+16.66300E-03,+29.18420E-03,+3.30511184E+00
+16.71250E-03,+29.49800E-03,+3.30124155E+00
+16.76200E-03,+29.49800E-03,+3.29778966E+00
+16.81150E-03,+25.31390E-03,+3.30030012E+00
+16.86100E-03,+25.31390E-03,+3.30124155E+00
+16.91050E-03,+25.31390E-03,+3.30124155E+00
+16.96000E-03,+25.31390E-03,+3.30124155E+00
+17.00950E-03,+25.31390E-03,+3.30124155E+00
+17.05900E-03,+25.31390E-03,+3.30542565E+00
+17.10850E-03,+27.51056E-03,+3.30124155E+00
+17.15800E-03,+25.31390E-03,+3.30301979E+00
+17.20750E-03,+25.31390E-03,+3.30124155E+00
+17.25700E-03,+25.31390E-03,+3.30260138E+00
+17.30650E-03,+25.31390E-03,+3.29820807E+00
+17.35600E-03,+25.31390E-03,+3.30124155E+00
+17.40550E-03,+26.04612E-03,+3.30469343E+00
+17.45500E-03,+25.31390E-03,+3.30124155E+00
+17.50450E-03,+25.31390E-03,+3.29737125E+00
+17.55400E-03,+29.49800E-03,+3.30124155E+00
+17.60350E-03,+25.31390E-03,+3.30124155E+00
